file_name,threshold,graph_length,bschema_length,iterations,runtime
TUC_building.ttl,,1855,102,1,5.429933786392212
bldg_brick_anon.ttl,,173518,2672,2,1972.9821319580078
bldg_223p_anon.ttl,,144225,242,1,440.00553798675537
bldg11.ttl,,8618,136,1,32.56008243560791
dflexlibs_multizone.ttl,,629,104,1,1.9069397449493408
b59.ttl,,38982,477,1,108.07490658760071
TUC_building.ttl,,1855,126,3,10.846558809280396
bldg_brick_anon.ttl,,173518,6090,19,3776.7590279579163
bldg_223p_anon.ttl,,144225,3839,19,4188.498230934143
bldg11.ttl,,8618,170,2,45.705849170684814
dflexlibs_multizone.ttl,,629,136,2,2.6996524333953857
b59.ttl,,38982,1288,5,243.93064856529236
TUC_building.ttl,,1855,137,3,11.009902954101562
bldg_brick_anon.ttl,,173518,18730,14,3071.581847667694
bldg_223p_anon.ttl,,144225,23388,19,4925.29972243309
bldg11.ttl,,8618,1293,19,305.8292009830475
dflexlibs_multizone.ttl,,629,190,2,3.435368537902832
b59.ttl,,38982,1892,7,321.54394340515137
TUC_building.ttl,,1855,171,4,13.961471796035767
bldg_brick_anon.ttl,,173518,28176,7,2129.954641342163
bldg_223p_anon.ttl,,144225,12880,16,3902.8837082386017
bldg11.ttl,,8618,1235,14,227.9347128868103
dflexlibs_multizone.ttl,,629,198,3,3.3482632637023926
b59.ttl,,38982,9262,19,790.186450958252
TUC_building.ttl,,1855,433,7,11.470644235610962
bldg_brick_anon.ttl,,173518,46922,7,1725.05863571167
bldg_223p_anon.ttl,,144225,12015,10,1556.4985473155975
bldg11.ttl,,8618,3157,10,95.17040038108826
dflexlibs_multizone.ttl,,629,198,3,1.8094360828399658
b59.ttl,,38982,20259,11,348.4121856689453
