file_name,threshold,graph_length,bschema_length,iterations,runtime
TUC_building.ttl,0.3,1855,102,1,5.6189093589782715
bldg_brick_anon.ttl,0.3,173518,2735,1,1292.3637692928314
bldg_223p_anon.ttl,0.3,144225,360,1,489.2267475128174
bldg11.ttl,0.3,8618,136,1,32.641331911087036
dflexlibs_multizone.ttl,0.3,629,104,1,1.9779932498931885
b59.ttl,0.3,38982,546,1,112.51945304870605
TUC_building.ttl,0.3,1855,126,3,11.211184740066528
bldg_brick_anon.ttl,0.3,173518,5654,13,2715.600937128067
bldg_223p_anon.ttl,0.3,144225,3756,19,4372.585330486298
bldg11.ttl,0.3,8618,170,2,47.12557101249695
dflexlibs_multizone.ttl,0.3,629,136,2,2.7738306522369385
b59.ttl,0.3,38982,1320,5,254.39913749694824
