graph_length,bschema_length,iterations,runtime
1855,102,25,5.518768787384033
173518,2686,284,1970.6305067539215
144225,250,38,444.52475905418396
8623,139,39,32.52240753173828
629,104,33,1.9152891635894775
45801,327,24,151.32847142219543
1855,126,40,10.97124719619751
173518,6712,890,3020.9838519096375
144225,2182,512,4155.955267190933
8623,173,68,45.54024839401245
629,136,57,2.7918541431427
45801,1540,145,327.948379278183
1855,137,44,11.357339859008789
173518,21735,3273,4175.090913057327
144225,25930,6015,4875.394457578659
8623,229,91,83.74355244636536
629,190,75,2.9901318550109863
45801,2192,224,473.77920484542847
1855,171,54,14.117943048477173
173518,29523,4494,2382.9955921173096
144225,11388,2778,4589.362935304642
8623,1125,450,305.1562509536743
629,198,78,3.43863844871521
45801,5515,554,1001.5881459712982
